td_browser,td_color,td_ip,td_version,td_client_id,td_os_version,td_browser_version,td_viewport,td_charset,td_os,td_screen,td_language,td_global_id,td_platform,td_user_agent,td_fingerprint_id,td_title,td_description,td_url,td_host,td_path,td_referrer,time
Chrome,24-bit,153.142.210.4,1.3.0,2370f1cd-583d-41ab-90dc-394a44dfc107,10.11.4,60.0.3112,1492x821,utf-8,Mac OS X,1920x1080,ja,,,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:52.0) Gecko/20100101 Firefox/52.0,,Accessories - Nintendo Switch - Peripherals List,"Check out featured accessories for Nintendo Switch, including cases, 
headphones, and more. Customize your system with these fun accessories!",https://www.nintendo.com/switch/buy-now/accessories/,Accessories - Nintendo Switch - Peripherals List,Accessories - Nintendo Switch - Peripherals List,https://www.google.com,1535694354
Chrome,24-bit,109.252.84.232,1.7.2,15e448b7-02bc-42ce-822b-d5963b6a3d07,,60.0.3112,1330x637,utf-8,Linux,1366x768,en-us,f0bb118c-e1fc-437e-a64f-a21a8c6e0f20,Linux x86_64,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:52.0) Gecko/20100101 Firefox/52.0,,YO-KAI WATCH 3 for Nintendo 3DS - Nintendo Game Details,"Learn more details about YO-KAI WATCH 3 for Nintendo 3DS and take a look at 
gameplay screenshots and videos.",https://www.nintendo.com/games/detail/yo-kai-watch-3-3ds,YO-KAI WATCH 3 for Nintendo 3DS - Nintendo Game Details,YO-KAI WATCH 3 for Nintendo 3DS - Nintendo Game Details,(direct),1535693058
Chrome,24-bit,122.208.71.146,1.3.0,c265de07-02a5-479f-809c-17345036e5d3,10.12.5,60.0.3112,1536x764,utf-8,Mac OS X,1920x1080,ja,,,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:52.0) Gecko/20100101 Firefox/52.0,,"Nintendo - Official Site - Video Game Consoles, Games","Nintendo - Official Site - Video Game Consoles, Games",https://www.nintendo.com/consumer/manuals/warrantytext_eng.jsp,"Nintendo - Official Site - Video Game Consoles, Games","Nintendo - Official Site - Video Game Consoles, Games",(direct),1535691757
Chrome,24-bit,221.114.198.90,1.3.0,904194e9-7321-4e04-9d1d-eaeeef3218f1,10.10.5,60.0.3112,1579x845,utf-8,Mac OS X,1280x800,en-us,,,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:52.0) Gecko/20100101 Firefox/52.0,,Accessories - Nintendo Switch - Peripherals List,"Check out featured accessories for Nintendo Switch, including cases, 
headphones, and more. Customize your system with these fun accessories!",https://www.nintendo.com/switch/buy-now/accessories/,Accessories - Nintendo Switch - Peripherals List,Accessories - Nintendo Switch - Peripherals List,(direct),1535693872
Chrome,24-bit,38.99.25.193,1.3.0,ea72378b-ad55-4cb0-b745-7234ddb0b5fb,,60.0.3112,1904x942,utf-8,Windows,1920x1080,en-us,,,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:52.0) Gecko/20100101 Firefox/52.0,,Switch Games - Nintendo Game Store,"Browse and buy digital games on the Nintendo game store, and automatically 
download them to your Nintendo Switch console.",https://www.nintendo.com/games/switch,Switch Games - Nintendo Game Store,Switch Games - Nintendo Game Store,(direct),1532453375
Chrome,24-bit,69.181.34.179,1.3.0,fd1d0256-e89e-4001-9047-48b2d3362dab,10.12.2,59.0.3071,1544x838,utf-8,Mac OS X,2560x1440,en-us,,,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:52.0) Gecko/20100101 Firefox/52.0,,"Nintendo - Official Site - Video Game Consoles, Games","Nintendo - Official Site - Video Game Consoles, Games",https://www.nintendo.com/checkout/,"Nintendo - Official Site - Video Game Consoles, Games","Nintendo - Official Site - Video Game Consoles, Games",(direct),1532454722
Chrome,24-bit,69.181.34.179,1.3.0,fd1d0256-e89e-4001-9047-48b2d3362dab,10.12.2,59.0.3071,1544x838,utf-8,Mac OS X,2560x1440,en-us,,,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:52.0) Gecko/20100101 Firefox/52.0,,"Nintendo - Official Site - Video Game Consoles, Games","Nintendo - Official Site - Video Game Consoles, Games",https://www.nintendo.com/order-confirmation/,"Nintendo - Official Site - Video Game Consoles, Games","Nintendo - Official Site - Video Game Consoles, Games",(direct),1532453825
Firefox,24-bit,38.99.25.193,1.3.0,06c9380b-2188-456e-9af3-612db922fc35,,55,1855x983,utf-8,Ubuntu,1920x1080,en-us,,,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:52.0) Gecko/20100101 Firefox/52.0,,Game Guide - Nintendo Game Store,"Search for games for Nintendo 3DS and Nintendo 2DS, Wii U, and Wii 
consoles, and find out where to purchase. Filter by age range, genre, 
character, and more.",https://www.nintendo.com/games/game-guide,Game Guide - Nintendo Game Store,Game Guide - Nintendo Game Store,https://www.twitter.com,1532451830
Chrome,24-bit,114.19.189.138,1.8.3,92a517cb-bdb5-45d6-a387-ebe6430b9c64,10.11.6,60.0.3112,1280x676,utf-8,Mac OS X,1280x800,ja,74b6f8f4-2e3d-46a8-92a7-bcf4935c0211,MacIntel,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:52.0) Gecko/20100101 Firefox/52.0,,New Game Releases - Nintendo Game Store,"Take a look at upcoming video game releases for the Nintendo Switch, 
Nintendo 3DS, and Virtual Console.",https://www.nintendo.com/games/coming-soon/,New Game Releases - Nintendo Game Store,New Game Releases - Nintendo Game Store,https://www.facebook.com,1532453345
Chrome,24-bit,38.140.133.130,1.7.2,ca646b02-653e-40ae-8a31-a0bfe2270f47,10.12.6,60.0.3112,1606x808,utf-8,Mac OS X,1680x1050,en-us,f16fbb27-ce53-4913-b920-c9224e9bcd96,MacIntel,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:52.0) Gecko/20100101 Firefox/52.0,,New Nintendo 3DS XL - Frequently Asked Questions - FAQ,"Get answers to the most frequently asked questions about the New Nintendo 
3DS handheld system in the official FAQ from Nintendo.",https://www.nintendo.com/3ds/faq,New Nintendo 3DS XL - Frequently Asked Questions - FAQ,New Nintendo 3DS XL - Frequently Asked Questions - FAQ,https://www.facebook.com,1533861741
Chrome,24-bit,38.99.25.193,1.3.0,b30b55f4-284b-4447-9323-b87ca57a1330,,61.0.3163,1914x947,utf-8,Windows,1920x1080,en-us,,,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:52.0) Gecko/20100101 Firefox/52.0,,Nintendo Sales & Deals - Nintendo Game Store,"Take a look at Nintendo game sales and deals offered on the Nintendo Game 
Store.",https://www.nintendo.com/games/sales-and-deals,Nintendo Sales & Deals - Nintendo Game Store,Nintendo Sales & Deals - Nintendo Game Store,(direct),1533861235
Safari,24-bit,69.158.63.184,1.7.2,f4a61892-5e4a-41f3-f91f-7279165ed8a1,10.11.6,10.1.2,1280x648,utf-8,Mac OS X,1280x800,en-us,c726de5f-ecd2-45b5-a736-bf62bdfe8576,MacIntel,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:52.0) Gecko/20100101 Firefox/52.0,,"Nintendo - Official Site - Video Game Consoles, Games","Nintendo - Official Site - Video Game Consoles, Games",https://www.nintendo.com/order-confirmation/,"Nintendo - Official Site - Video Game Consoles, Games","Nintendo - Official Site - Video Game Consoles, Games",https://googlead.doubleclick.net,1533860183
Chrome,24-bit,183.74.193.79,1.3.0,7a563e54-d49c-4584-a988-18e9f5651b2e,,60.0.3112,1707x723,utf-8,Windows,1280x720,ja,,,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:52.0) Gecko/20100101 Firefox/52.0,,Game Guide - Nintendo Game Store,"Search for games for Nintendo 3DS and Nintendo 2DS, Wii U, and Wii 
consoles, and find out where to purchase. Filter by age range, genre, 
character, and more.",https://www.nintendo.com/games/game-guide,Game Guide - Nintendo Game Store,Game Guide - Nintendo Game Store,https://www.google.com,1533860828
Safari,24-bit,69.157.79.58,1.7.2,f4a61892-5e4a-41f3-f91f-7279165ed8a1,10.11.6,10.1.2,1280x648,utf-8,Mac OS X,1280x800,en-us,c726de5f-ecd2-45b5-a736-bf62bdfe8576,MacIntel,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:52.0) Gecko/20100101 Firefox/52.0,,"Nintendo - Official Site - Video Game Consoles, Games","Nintendo - Official Site - Video Game Consoles, Games",https://www.nintendo.com/order-confirmation/,"Nintendo - Official Site - Video Game Consoles, Games","Nintendo - Official Site - Video Game Consoles, Games",(direct),1533861665
Mobile Safari,32-bit,66.102.8.200,1.7.2,00000000-0000-4000-8000-000000000000,10.3.2,10,320x568,utf-8,iOS,320x568,en-us,d9df9d04-79e3-4e6c-a602-64b8c875319a,iPhone,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:52.0) Gecko/20100101 Firefox/52.0,,"Nintendo - Official Site - Video Game Consoles, Games","Nintendo - Official Site - Video Game Consoles, Games",https://www.nintendo.com/order-confirmation/,"Nintendo - Official Site - Video Game Consoles, Games","Nintendo - Official Site - Video Game Consoles, Games",https://www.twitter.com,1533862402
Chrome,24-bit,153.142.210.4,1.3.0,c9c16e71-8154-400b-a2f8-b0c0ba01ad9b,10.10.5,60.0.3112,1920x1071,utf-8,Mac OS X,1440x900,ja,,,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:52.0) Gecko/20100101 Firefox/52.0,,Nintendo Country Selector - Official Site,"Nintendo - Official Site - Video Game Consoles, Games",https://www.nintendo.com/countryselector,Nintendo Country Selector - Official Site,Nintendo Country Selector - Official Site,(direct),1534051007
Firefox,24-bit,54.153.88.228,1.3.0,07c8e5b8-7ab3-4f03-a10d-761e77d02368,,33,1585x985,utf-8,Ubuntu,1920x1080,en-us,,,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:52.0) Gecko/20100101 Firefox/52.0,,Buy now � Nintendo 3DS� family of systems � Console bundles,"Learn more about where to purchase the Nintendo 3DS family of systems, 
including special editions and bundles.",https://www.nintendo.com/3ds/buynow/,Buy now � Nintendo 3DS� family of systems � Console bundles,Buy now � Nintendo 3DS� family of systems � Console bundles,(direct),1534052271
IE,24-bit,210.143.35.20,1.7.2,33b86c3b-724e-4346-95ec-da0c8b2ac232,,11,1351x869,utf-8,Windows 7,1680x1050,ja-jp,8c0fa240-6c5c-4a19-b4c0-5ca9c7de93dc,Win32,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:52.0) Gecko/20100101 Firefox/52.0,,Nintendo Switch� - Official site � Nintendo gaming system,"Find out about the Nintendo Switch� system, a gaming console you can play 
both at home and on-the-go. Watch videos, learn about the games, and buy 
your system.",https://www.nintendo.com/switch/,Nintendo Switch� - Official site � Nintendo gaming system,Nintendo Switch� - Official site � Nintendo gaming system,https://googlead.doubleclick.net,1534053010
Chrome,24-bit,153.142.210.4,1.3.0,5c3568dd-7c2f-4b23-c069-81a9cea35e42,10.11.6,60.0.3112,1530x779,utf-8,Mac OS X,1920x1080,ja,,,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:52.0) Gecko/20100101 Firefox/52.0,,Game Guide - Nintendo Game Store,"Search for games for Nintendo 3DS and Nintendo 2DS, Wii U, and Wii 
consoles, and find out where to purchase. Filter by age range, genre, 
character, and more.",https://www.nintendo.com/games/game-guide,Game Guide - Nintendo Game Store,Game Guide - Nintendo Game Store,https://googlead.doubleclick.net,1534052555
Chrome,24-bit,38.99.25.193,1.3.0,8f7c3671-ecc6-4958-98cb-7701e9f9bc53,,60.0.3112,2133x1056,utf-8,Windows,1920x1080,en-us,,,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:52.0) Gecko/20100101 Firefox/52.0,,Nintendo Country Selector - Official Site,"Nintendo - Official Site - Video Game Consoles, Games",https://www.nintendo.com/countryselector,Nintendo Country Selector - Official Site,Nintendo Country Selector - Official Site,(direct),1534052814
Chrome,24-bit,221.114.198.90,1.7.2,c16dac30-bb5a-4acb-8c10-a7e98db3e82c,10.12.6,60.0.3112,1385x780,utf-8,Mac OS X,1440x900,en-us,d7ce3b11-114e-4594-8580-dbf3bfe6b6a0,MacIntel,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:52.0) Gecko/20100101 Firefox/52.0,,"Nintendo - Official Site - Video Game Consoles, Games","Nintendo - Official Site - Video Game Consoles, Games",https://www.nintendo.com/order-confirmation/,"Nintendo - Official Site - Video Game Consoles, Games","Nintendo - Official Site - Video Game Consoles, Games",(direct),1532214061
Chrome,24-bit,38.99.25.193,1.3.0,ead6befa-9e80-4cb6-b750-19ac412c7fa4,,61.0.3163,1855x965,utf-8,Linux,1920x1080,en-us,,,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:52.0) Gecko/20100101 Firefox/52.0,,Explore the World of Pok�mon - Nintendo Game Store,"Whether you�re new to the series or a seasoned Pok�mon Trainer, there are 
plenty of great games to discover.",https://www.nintendo.com/games/pokemon-games,Explore the World of Pok�mon - Nintendo Game Store,Explore the World of Pok�mon - Nintendo Game Store,(direct),1532214990
Chrome,24-bit,39.110.213.4,1.3.0,d2d35a82-d136-47db-9ae3-f08f77722868,10.12.3,60.0.3112,1558x1088,utf-8,Mac OS X,2560x1440,ja,,,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:52.0) Gecko/20100101 Firefox/52.0,,Nintendo 3DS Games - Nintendo Game Store,"Browse and buy digital games on the Nintendo game store, and automatically 
download them to your Nintendo 3DS system!",https://www.nintendo.com/games/3ds/,Nintendo 3DS Games - Nintendo Game Store,Nintendo 3DS Games - Nintendo Game Store,https://www.google.com,1532216773
Firefox,24-bit,83.242.245.20,1.7.2,8e66b239-c51e-4686-9179-1d0571267da9,,55,1917x972,utf-8,Windows,1920x1080,ru-ru,8dbd4538-bd46-42e1-b72f-eefdbc5ebb80,Win64,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:52.0) Gecko/20100101 Firefox/52.0,,Pok�mon Direct 2.27.2019,"Nintendo Direct is the online home for official and exclusive Nintendo 
news�broadcast directly to you, the player.",https://www.nintendo.com/nintendo-direct/,Pok�mon Direct 2.27.2019,Pok�mon Direct 2.27.2019,https://googlead.doubleclick.net,1532215539
Chrome,24-bit,38.122.222.210,1.7.2,44edf5b6-da3b-4306-80ef-e270e180aeb2,,60.0.3112,1920x950,utf-8,Windows 7,1920x1080,en-us,83888374-ce6e-4aa4-9ce6-85c487791260,Win32,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:52.0) Gecko/20100101 Firefox/52.0,,"Nintendo - Official Site - Video Game Consoles, Games","Nintendo - Official Site - Video Game Consoles, Games",https://www.nintendo.com/order-confirmation/,"Nintendo - Official Site - Video Game Consoles, Games","Nintendo - Official Site - Video Game Consoles, Games",(direct),1532214434
Chrome,24-bit,221.241.204.35,1.3.0,ec7a52bd-b09b-4443-acfb-ab967b47da91,10.11.6,60.0.3112,1280x663,utf-8,Mac OS X,1280x800,ja,,,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:52.0) Gecko/20100101 Firefox/52.0,,Game Guide - Nintendo Game Store,"Search for games for Nintendo 3DS and Nintendo 2DS, Wii U, and Wii 
consoles, and find out where to purchase. Filter by age range, genre, 
character, and more.",https://www.nintendo.com/games/game-guide,Game Guide - Nintendo Game Store,Game Guide - Nintendo Game Store,https://www.facebook.com,1532215040
Chrome,24-bit,221.241.204.35,1.3.0,ec7a52bd-b09b-4443-acfb-ab967b47da91,10.11.6,60.0.3112,1080x1783,utf-8,Mac OS X,1080x1920,ja,,,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:52.0) Gecko/20100101 Firefox/52.0,,Game Guide - Nintendo Game Store,"Search for games for Nintendo 3DS and Nintendo 2DS, Wii U, and Wii 
consoles, and find out where to purchase. Filter by age range, genre, 
character, and more.",https://www.nintendo.com/games/game-guide,Game Guide - Nintendo Game Store,Game Guide - Nintendo Game Store,(direct),1532215586
Chrome,24-bit,38.99.25.193,1.3.0,ea72378b-ad55-4cb0-b745-7234ddb0b5fb,,60.0.3112,1904x942,utf-8,Windows,1920x1080,en-us,,,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:52.0) Gecko/20100101 Firefox/52.0,,New Game Releases - Nintendo Game Store,"Take a look at upcoming video game releases for the Nintendo Switch, 
Nintendo 3DS, and Virtual Console.",https://www.nintendo.com/games/coming-soon,New Game Releases - Nintendo Game Store,New Game Releases - Nintendo Game Store,(direct),1534916692
Chrome,24-bit,221.241.204.35,1.3.0,ec7a52bd-b09b-4443-acfb-ab967b47da91,10.11.6,60.0.3112,1080x1783,utf-8,Mac OS X,1080x1920,ja,,,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:52.0) Gecko/20100101 Firefox/52.0,,Game Guide - Nintendo Game Store,"Search for games for Nintendo 3DS and Nintendo 2DS, Wii U, and Wii 
consoles, and find out where to purchase. Filter by age range, genre, 
character, and more.",https://www.nintendo.com/games/game-guide,Game Guide - Nintendo Game Store,Game Guide - Nintendo Game Store,https://www.facebook.com,1534914391
Chrome,24-bit,217.108.40.234,1.7.2,21e687e1-fb63-4aeb-9f68-d93b1a3f9cab,,60.0.3112,1920x988,utf-8,Windows 8.1,1920x1080,fr,f60e94cf-2ab9-4c81-a2d0-1b84d16f52ce,Win32,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:52.0) Gecko/20100101 Firefox/52.0,,Buy now � Nintendo 3DS� family of systems � Console bundles,"Learn more about where to purchase the Nintendo 3DS family of systems, 
including special editions and bundles.",https://www.nintendo.com/3ds/buynow,Buy now � Nintendo 3DS� family of systems � Console bundles,Buy now � Nintendo 3DS� family of systems � Console bundles,https://googlead.doubleclick.net,1534915760
Chrome,24-bit,185.13.106.215,1.7.2,0c4ac096-59ec-4df2-eab1-2086f3df9b95,10.11.5,60.0.3112,1440x826,utf-8,Mac OS X,1440x900,en-us,66326ddc-f339-4123-8085-581d669c2b02,MacIntel,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:52.0) Gecko/20100101 Firefox/52.0,,Nintendo Switch� - Official site � Nintendo gaming system,"Find out about the Nintendo Switch� system, a gaming console you can play 
both at home and on-the-go. Watch videos, learn about the games, and buy 
your system.",https://www.nintendo.com/switch/,Nintendo Switch� - Official site � Nintendo gaming system,Nintendo Switch� - Official site � Nintendo gaming system,(direct),1534914939
Chrome,24-bit,124.35.147.130,1.3.0,6734ec96-11cc-41cf-9760-7d052d3d1fc7,10.12.6,60.0.3112,1245x632,utf-8,Mac OS X,1280x800,ja,,,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:52.0) Gecko/20100101 Firefox/52.0,,Nintendo Sales & Deals - Nintendo Game Store,"Take a look at Nintendo game sales and deals offered on the Nintendo Game 
Store.",https://www.nintendo.com/games/sales-and-deals,Nintendo Sales & Deals - Nintendo Game Store,Nintendo Sales & Deals - Nintendo Game Store,(direct),1534009169
Chrome,24-bit,45.120.161.24,1.7.2,96302f5f-bfc8-4d65-f8ee-a9a8b58c2359,,60.0.3112,1366x638,utf-8,Windows 8,1366x768,en-us,2d0cec77-49df-4745-a8fd-e8294d8e945e,Win32,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:52.0) Gecko/20100101 Firefox/52.0,,Nintendo Switch� - Official site � Nintendo gaming system,"Find out about the Nintendo Switch� system, a gaming console you can play 
both at home and on-the-go. Watch videos, learn about the games, and buy 
your system.",https://www.nintendo.com/switch/,Nintendo Switch� - Official site � Nintendo gaming system,Nintendo Switch� - Official site � Nintendo gaming system,(direct),1534008754
Chrome,24-bit,221.242.28.34,1.3.0,95adc21a-1f65-4d29-86ec-22718c91c779,,60.0.3112,1147x1070,utf-8,Windows 7,1920x1080,ja,,,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:52.0) Gecko/20100101 Firefox/52.0,,Game Guide - Nintendo Game Store,"Search for games for Nintendo 3DS and Nintendo 2DS, Wii U, and Wii 
consoles, and find out where to purchase. Filter by age range, genre, 
character, and more.",https://www.nintendo.com/games/game-guide,Game Guide - Nintendo Game Store,Game Guide - Nintendo Game Store,https://www.twitter.com,1534008729
Safari,24-bit,69.158.63.184,1.7.2,f4a61892-5e4a-41f3-f91f-7279165ed8a1,10.11.6,10.1.2,1280x648,utf-8,Mac OS X,1280x800,en-us,c726de5f-ecd2-45b5-a736-bf62bdfe8576,MacIntel,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:52.0) Gecko/20100101 Firefox/52.0,,"Nintendo - Official Site - Video Game Consoles, Games","Nintendo - Official Site - Video Game Consoles, Games",https://www.nintendo.com/order-confirmation/,"Nintendo - Official Site - Video Game Consoles, Games","Nintendo - Official Site - Video Game Consoles, Games",https://www.twitter.com,1534007104
Firefox,24-bit,72.21.198.69,1.7.2,4da5f309-651a-4e78-97f4-ffa5a76b8db6,,52,1920x936,utf-8,Windows,1920x1080,en-us,98fe5326-ce48-451f-bf8e-d6b2b30e1424,Win32,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:52.0) Gecko/20100101 Firefox/52.0,,Nintendo Switch� - Official site � Nintendo gaming system,"Find out about the Nintendo Switch� system, a gaming console you can play 
both at home and on-the-go. Watch videos, learn about the games, and buy 
your system.",https://www.nintendo.com/switch/,Nintendo Switch� - Official site � Nintendo gaming system,Nintendo Switch� - Official site � Nintendo gaming system,https://www.google.com,1534007690
Chrome,24-bit,69.181.34.179,1.3.0,fd1d0256-e89e-4001-9047-48b2d3362dab,10.12.2,59.0.3071,1544x838,utf-8,Mac OS X,2560x1440,en-us,,,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:52.0) Gecko/20100101 Firefox/52.0,,Nintendo Country Selector - Official Site,"Nintendo - Official Site - Video Game Consoles, Games",https://www.nintendo.com/countryselector,Nintendo Country Selector - Official Site,Nintendo Country Selector - Official Site,https://www.facebook.com,1534009739
